player_id,current_club_id,date_of_birth,position,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,last_season,year_of_birth,age,year,total_goals,total_yellow_cards,total_red_cards,total_minutes_played,total_assists,total_goals_cur_club,total_yellow_cards_cur_club,total_red_cards_cur_club,total_minutes_played_cur_club,total_assists_cur_club,total_goals_2022,total_yellow_cards_2022,total_red_cards_2022,total_minutes_played_2022,total_assists_2022,games_played_2022,performance_2022,total_goals_2020,total_yellow_cards_2020,total_red_cards_2020,total_minutes_played_2020,total_assists_2020,games_played_2020,performance_2020,improved_performance,raw_performance_score,normalised_performance_score
131323,11127,1993-10-11,Midfield,1200000.0,1500000.0,2023-06-30,2022,1993,29,5,5,31,0,9523,11,4,8,0,2282,1,4,13,0,3582,3,50,369.764,0,5,0,1300,2,20,138.25,1,692.9304827586207,19.079994434709615
25734,11127,1986-05-01,Defender,150000.0,2500000.0,2023-06-30,2022,1986,36,9,4,31,0,20375,28,0,1,0,869,1,0,2,0,3039,4,38,315.59736842105264,0,1,0,2170,3,26,227.99615384615385,1,701.4422064777327,19.314366633986953
334481,11127,1997-04-29,Defender,600000.0,600000.0,2025-06-30,2022,1997,25,3,1,4,2,3353,3,1,3,2,2264,2,1,4,2,3277,2,45,338.13222222222225,0,1,0,1013,0,13,110.1423076923077,1,617.364641025641,16.999272232996862
285064,11127,1995-04-04,Attack,600000.0,600000.0,2024-06-30,2022,1995,27,2,3,4,0,986,1,3,4,0,959,1,3,4,0,986,1,26,105.9423076923077,0,0,0,27,0,1,5.5,1,164.42827635327637,4.527569035842618
290774,11127,1993-06-03,Defender,1800000.0,2500000.0,2024-06-30,2022,1993,29,5,5,22,1,6572,0,0,1,0,540,0,1,10,0,2992,0,34,308.95,1,5,0,2007,0,23,210.52608695652177,1,673.9855697151424,18.55834205481058
315862,3057,1999-02-18,Midfield,1800000.0,2000000.0,2023-06-30,2022,1999,23,5,2,7,0,2256,1,0,1,0,339,0,2,5,0,1897,0,46,197.9739130434783,2,1,0,604,0,18,65.70555555555556,1,362.70990338164256,9.98729758631001
282630,11127,1997-07-25,Defender,300000.0,600000.0,2023-06-30,2022,1997,25,5,0,6,0,1728,0,0,2,0,917,0,0,6,0,1625,0,19,171.45263157894738,0,4,0,708,0,8,79.44999999999999,1,336.6689473684211,9.270254090361135
150482,3057,1992-12-19,Midfield,1500000.0,5500000.0,2023-06-30,2022,1992,30,9,3,28,0,18593,11,0,3,0,1751,1,0,5,0,3447,3,51,356.5588235294118,0,2,0,1696,2,27,178.78148148148148,1,713.6797167755992,19.65132919255191
59187,11127,1990-07-29,Attack,500000.0,14000000.0,2023-06-30,2022,1990,32,9,29,26,1,14398,43,1,1,0,955,4,1,3,0,1725,5,28,182.8607142857143,0,2,0,770,1,12,84.76666666666668,1,359.11398809523814,9.888283261843954
160736,3057,1992-04-07,Defender,1000000.0,1500000.0,2023-06-30,2022,1992,30,10,14,56,2,13615,6,4,7,1,2026,1,6,13,1,3542,1,44,363.50000000000006,2,6,0,1516,0,19,160.07894736842104,1,705.3956140350879,19.423224587373817
121570,3057,1993-05-19,Defender,2000000.0,6000000.0,2023-06-30,2022,1993,29,8,11,33,2,17182,9,0,6,0,1465,1,2,11,0,3279,1,41,337.4475609756098,2,5,0,1814,0,23,190.43695652173915,1,696.663470398947,19.182783076823775
211072,336,1992-11-09,Attack,10000000.0,15000000.0,2026-06-30,2022,1992,30,9,88,41,0,15943,39,14,8,0,2440,8,26,17,0,5567,16,77,582.5798701298703,12,9,0,3127,8,41,329.5768292682927,1,1203.5066344630982,33.138821943977085
